,loss,train_rmse,train_pearson,valid_rmse,valid_pearson,test_results
0,0.7060611844062805,1.5104210776779834,0.6338188064496632,1.5287619638169803,0.6790254599033404,"{'RMSE': '1.3144567979871835', 'MSE': '1.7277967', 'pearson_correlation': '0.8070661786040352', 'spearman_correlation': '0.7977496264237998', 'CI': '0.8068357941104495'}"
1,0.6919621825218201,1.4637683226809257,0.6711079468999819,1.4874511165761015,0.7047948555882207,
2,0.5813616514205933,1.3962402130303044,0.7060905044207514,1.4516442250218986,0.7288341958929138,
3,0.47511568665504456,1.3182967559636802,0.7389418140962641,1.3914616671733249,0.7377764738107649,
4,0.38038137555122375,1.2480966859527618,0.7745035188670315,1.3194892167420125,0.769351734064399,
5,0.5344604849815369,1.1860214364525266,0.7942734218309692,1.3093252841733776,0.7690981872439527,
6,0.3343169093132019,1.102518843405448,0.8151378186240282,1.3103780850955737,0.7653458291541569,
7,0.3066534101963043,1.0494717518029422,0.8332593623488612,1.2666331855632156,0.7783752913780532,
8,0.2509882152080536,1.0148120267283938,0.8472912480197602,1.2724313329969452,0.7790381404096631,
9,0.27063408493995667,0.9880290557781946,0.8677292243373752,1.2627620576121605,0.7866465463418415,
10,0.25304147601127625,0.9766188338243869,0.8849252233067578,1.2743579369824998,0.789769658976227,
11,0.31296929717063904,0.8977881697356482,0.8878223176540911,1.262260438833215,0.7838992210546829,
12,0.23169395327568054,0.8093298910524461,0.9085197851989981,1.2219864835881298,0.7982801449972277,
13,0.22432592511177063,0.8100649216619177,0.9107621993154218,1.2431992063626587,0.8043786227279955,
14,0.3021470010280609,0.7322881551109397,0.9235492591778187,1.2385144901529113,0.7993240739022434,
15,0.2089867740869522,0.781295546157702,0.9290891896755215,1.3174066110190559,0.7865797453470428,
